Method,Atom,Basis,Grid_Sph,Grid_Rad,"Energy,Ha",Iterations,DIIS,Damp_Start,Damp_End,Damp_Cutoff
TFW LDA,H,UGBS_S,6,1000,-0.243294,30,True,0.9,0.0,0.001
TFW LDA,He,UGBS_S,6,1000,-1.47745,52,True,0.9,0.0,0.001
TFW LDA,Li,UGBS_S,6,1000,-4.070028,74,True,0.9,0.0,0.001
TFW LDA,Be,UGBS_S,6,1000,-8.492186,77,True,0.9,0.0,0.001
TFW LDA,B,UGBS_S,6,1000,-14.88897,96,True,0.9,0.0,0.001
TFW LDA,C,UGBS_S,6,1000,-23.487434,113,True,0.9,0.0,0.001
TFW LDA,N,UGBS_S,6,1000,-34.468237,132,True,0.9,0.0,0.001
TFW LDA,O,UGBS_S,6,1000,-48.724465,141,True,0.9,0.0,0.001
TFW LDA,F,UGBS_S,6,1000,-65.732724,169,True,0.9,0.0,0.001
TFW LDA,Ne,UGBS_S,6,1000,-85.734446,129,True,0.9,0.0,0.001
TFW PBE,H,UGBS_S,6,1000,-0.263417,31,True,0.9,0.0,0.001
TFW PBE,He,UGBS_S,6,1000,-1.547985,51,True,0.9,0.0,0.001
TFW PBE,Li,UGBS_S,6,1000,-4.194061,82,True,0.9,0.0,0.001
TFW PBE,Be,UGBS_S,6,1000,-8.681694,74,True,0.9,0.0,0.001
TFW PBE,B,UGBS_S,6,1000,-15.145418,123,True,0.9,0.0,0.001
TFW PBE,C,UGBS_S,6,1000,-23.812886,107,True,0.9,0.0,0.001
TFW PBE,N,UGBS_S,6,1000,-34.864735,123,True,0.9,0.0,0.001
TFW PBE,O,UGBS_S,6,1000,-49.207223,241,True,0.9,0.0,0.001
TFW PBE,F,UGBS_S,6,1000,-66.30076,167,True,0.9,0.0,0.001
TFW PBE,Ne,UGBS_S,6,1000,-86.387928,120,True,0.9,0.0,0.001
TFW FA,H,UGBS_S,6,1000,-0.263808,30,True,0.9,0.0,0.001
TFW FA,He,UGBS_S,6,1000,-1.539225,55,True,0.9,0.0,0.001
TFW FA,Li,UGBS_S,6,1000,-4.055442,79,True,0.9,0.0,0.001
TFW FA,Be,UGBS_S,6,1000,-8.318528,76,True,0.9,0.0,0.001
TFW FA,B,UGBS_S,6,1000,-14.472785,97,True,0.9,0.0,0.001
TFW FA,C,UGBS_S,6,1000,-22.75378,108,True,0.9,0.0,0.001
TFW FA,N,UGBS_S,6,1000,-33.341834,123,True,0.9,0.0,0.001
TFW FA,O,UGBS_S,6,1000,-47.074203,132,True,0.9,0.0,0.001
TFW FA,F,UGBS_S,6,1000,-63.469677,179,True,0.9,0.0,0.001
TFW FA,Ne,UGBS_S,6,1000,-82.790109,132,True,0.9,0.0,0.001
TF0.333333W LDA,H,UGBS_S,6,1000,-0.389402,44,True,0.9,0.0,0.001
TF0.333333W LDA,He,UGBS_S,6,1000,-2.414978,106,True,0.9,0.0,0.001
TF0.333333W LDA,Li,UGBS_S,6,1000,-6.345962,139,True,0.9,0.0,0.001
TF0.333333W LDA,Be,UGBS_S,6,1000,-12.762758,115,True,0.9,0.0,0.001
TF0.333333W LDA,B,UGBS_S,6,1000,-21.851561,253,True,0.9,0.0,0.001
TF0.333333W LDA,C,UGBS_S,6,1000,-33.866228,461,True,0.9,0.0,0.0001
TF0.333333W LDA,N,UGBS_S,6,1000,-48.997021,354,True,0.9,0.9,0.0001
TF0.333333W LDA,O,UGBS_S,6,1000,-68.102884,360,True,0.9,0.9,0.0001
TF0.333333W LDA,F,UGBS_S,6,1000,-90.701767,1004,True,0.9,0.9,0.0001
TF0.333333W LDA,Ne,UGBS_S,6,1000,-117.075419,339,True,0.9,0.9,0.0001
TF0.333333W PBE,H,UGBS_S,6,1000,-0.422357,87,True,0.9,0.9,0.0001
TF0.333333W PBE,He,UGBS_S,6,1000,-2.532515,178,True,0.9,0.9,0.0001
TF0.333333W PBE,Li,UGBS_S,6,1000,-6.54294,263,True,0.9,0.9,0.0001
TF0.333333W PBE,Be,UGBS_S,6,1000,-13.053328,157,True,0.9,0.9,0.0001
TF0.333333W PBE,B,UGBS_S,6,1000,-22.235876,277,True,0.9,0.9,0.0001
TF0.333333W PBE,C,UGBS_S,6,1000,-34.346109,308,True,0.9,0.9,0.0001
TF0.333333W PBE,N,UGBS_S,6,1000,-49.574636,336,True,0.9,0.9,0.0001
TF0.333333W PBE,O,UGBS_S,6,1000,-68.79489,560,True,0.9,0.9,0.0001
TF0.333333W PBE,F,UGBS_S,6,1000,-91.506981,283,True,0.9,0.9,0.0001
TF0.333333W PBE,Ne,UGBS_S,6,1000,-117.993679,299,True,0.9,0.9,0.0001
TF0.333333W FA,H,UGBS_S,6,1000,-0.416983,82,True,0.9,0.9,0.0001
TF0.333333W FA,He,UGBS_S,6,1000,-2.489526,128,True,0.9,0.9,0.0001
TF0.333333W FA,Li,UGBS_S,6,1000,-6.299982,201,True,0.9,0.9,0.0001
TF0.333333W FA,Be,UGBS_S,6,1000,-12.460449,158,True,0.9,0.9,0.0001
TF0.333333W FA,B,UGBS_S,6,1000,-21.218778,212,True,0.9,0.9,0.0001
TF0.333333W FA,C,UGBS_S,6,1000,-32.829916,237,True,0.9,0.9,0.0001
TF0.333333W FA,N,UGBS_S,6,1000,-47.478821,334,True,0.9,0.9,0.0001
TF0.333333W FA,O,UGBS_S,6,1000,-65.882385,303,True,0.9,0.9,0.0001
TF0.333333W FA,F,UGBS_S,6,1000,-87.700287,306,True,0.9,0.9,0.0001
