Method,Atom,Basis,Grid_Sph,Grid_Rad,"Energy,Ha","ChemPot,Ha",Iterations,DIIS,Damp_Start,Damp_End,Damp_Cutoff
TFDW,H,CHAN2001,6,1000,-0.261824,-0.071454,38,True,0.9,0.0,0.001
TFDW,He,CHAN2001,6,1000,-1.477441,-0.108249,56,True,0.9,0.0,0.001
TFDW,Li,CHAN2001,6,1000,-4.105405,-0.130594,71,True,0.9,0.0,0.001
TFDW,Be,CHAN2001,6,1000,-8.492155,-0.145319,79,True,0.9,0.0,0.001
TFDW,B,CHAN2001,6,1000,-14.925837,-0.155646,90,True,0.9,0.0,0.001
TFDW,C,CHAN2001,6,1000,-23.656811,-0.163259,94,True,0.9,0.0,0.001
TFDW,N,CHAN2001,6,1000,-34.90835,-0.169104,104,True,0.9,0.0,0.001
TFDW,O,CHAN2001,6,1000,-48.883117,-0.173744,133,True,0.9,0.0,0.001
TFDW,F,CHAN2001,6,1000,-65.767433,-0.177532,141,True,0.9,0.0,0.001
TFDW,Ne,CHAN2001,6,1000,-85.734275,-0.180699,126,True,0.9,0.0,0.001
TFD0.2W,H,CHAN2001,6,1000,-0.566623,-0.065569,125,True,0.9,0.0,0.001
TFD0.2W,He,CHAN2001,6,1000,-2.818354,-0.070323,414,True,0.9,0.0,0.001
TFD0.2W,Li,CHAN2001,6,1000,-7.322697,-0.072325,285,True,0.9,0.9,0.001
TFD0.2W,Be,CHAN2001,6,1000,-14.484077,-0.073543,171,True,0.9,0.9,0.001
TFD0.2W,B,CHAN2001,6,1000,-24.628394,-0.074414,299,True,0.9,0.9,0.001
TFD0.2W,C,CHAN2001,6,1000,-38.033245,-0.075053,249,True,0.9,0.9,0.001
TFD0.2W,N,CHAN2001,6,1000,-54.942823,-0.075556,346,True,0.9,0.9,0.001
TFD0.2W,O,CHAN2001,6,1000,-75.576531,-0.075977,417,True,0.9,0.9,0.001
TFD0.2W,F,CHAN2001,6,1000,-100.134514,-0.076327,426,True,0.9,0.9,0.001
TFD0.2W,Ne,CHAN2001,6,1000,-128.801427,-0.076636,423,True,0.9,0.9,0.001
TFD0.111111W,H,CHAN2001,6,1000,-0.666438,-0.059161,117,True,0.9,0.0,0.001
TFD0.111111W,He,CHAN2001,6,1000,-3.222822,-0.061529,341,True,0.9,0.0,0.001
TFD0.111111W,Li,CHAN2001,6,1000,-8.251476,-0.06251,1011,True,0.9,0.0,0.001
TFD0.111111W,Be,CHAN2001,6,1000,-16.163129,-0.063057,451,True,0.9,0.9,0.001
TFD0.111111W,B,CHAN2001,6,1000,-27.287595,-0.063434,670,True,0.9,0.9,0.001
TFD0.111111W,C,CHAN2001,6,1000,-41.905218,-0.063712,842,True,0.9,0.9,0.001
TFD0.111111W,N,CHAN2001,6,1000,-60.26226,-0.063931,664,True,0.9,0.9,0.001
TFD0.111111W,O,CHAN2001,6,1000,-82.579773,-0.064111,1516,True,0.9,0.9,0.001
TFD0.111111W,F,CHAN2001,6,1000,-109.059257,-0.064277,970,True,0.9,0.9,0.001
TFD0.111111W,Ne,CHAN2001,6,1000,-139.886499,-0.064425,1174,True,0.9,0.9,0.001
