Method,Atom,Basis,Grid_Sph,Grid_Rad,"Energy,Ha","ChemPot,Ha",Iterations,DIIS,Damp_Start,Damp_End,Damp_Cutoff
TFD0.166666W,He,UGBS_S,6,1000,-2.951247,-0.067106,185,True,0.9,0.9,0.001
TFD0.166666W,Be,UGBS_S,6,1000,-15.040391,-0.069849,233,True,0.9,0.9,0.001
TFD0.166666W,Ne,UGBS_S,6,1000,-132.508856,-0.072529,827,True,0.9,0.9,0.001
TFD0.166666W,Mg,UGBS_S,6,1000,-204.54069,-0.072963,1732,True,0.9,0.9,0.001
TFD0.166666W,Ar,UGBS_S,6,1000,-537.20876,-0.073833,2513,True,0.9,0.9,0.001
TFD0.166666W,Ca,UGBS_S,6,1000,-690.396266,-0.07404,3724,True,0.9,0.9,0.001
TFD0.166666W,Zn,UGBS_S,6,1000,-1812.19249,-0.074767,7974,True,0.99,0.9,0.0001
TFD0.166666W,Kr,UGBS_S,6,1000,-2795.914635,-0.075063,8692,True,0.99,0.9,0.0001
TF0.166666W PBEx,He,UGBS_S,6,1000,-3.097069,-0.081193,238,True,0.9,0.9,0.001
TF0.166666W PBEx,Be,UGBS_S,6,1000,-15.388877,-0.081756,348,True,0.9,0.9,0.001
TF0.166666W PBEx,Ne,UGBS_S,6,1000,-133.573716,-0.082214,704,True,0.9,0.9,0.001
TF0.166666W PBEx,Mg,UGBS_S,6,1000,-205.864549,-0.082281,1148,True,0.9,0.9,0.001
TF0.166666W PBEx,Ar,UGBS_S,6,1000,-539.346529,-0.082424,3696,True,0.99,0.9,0.0001
TF0.166666W PBEx,Ca,UGBS_S,6,1000,-692.814969,-0.082458,5282,True,0.99,0.9,0.0001
TF0.166666W PBEx,Zn,UGBS_S,6,1000,-1816.067937,-0.082581,7415,True,0.99,0.9,0.0001
TF0.166666W PBEx,Kr,UGBS_S,6,1000,-2800.69659,-0.082633,12197,True,0.99,0.9,0.0001
TF0.166666W FA,He,UGBS_S,6,1000,-3.019526,-0.313483,176,True,0.9,0.9,0.0001
TF0.166666W FA,Be,UGBS_S,6,1000,-14.660508,-0.272375,443,True,0.9,0.9,0.0001
TF0.166666W FA,Ne,UGBS_S,6,1000,-128.291707,-0.23139,519,True,0.9,0.9,0.0001
TF0.166666W FA,Mg,UGBS_S,6,1000,-198.305386,-0.224844,653,True,0.9,0.9,0.0001
TF0.166666W FA,Ar,UGBS_S,6,1000,-522.928926,-0.211897,1379,True,0.9,0.9,0.0001
TF0.166666W FA,Ca,UGBS_S,6,1000,-672.808485,-0.208863,1193,True,0.9,0.9,0.0001
TF0.166666W FA,Zn,UGBS_S,6,1000,-1773.72767,-0.198303,4619,True,0.99,0.9,0.0001
TF0.166666W FA,Kr,UGBS_S,6,1000,-2741.665221,-0.19408,5551,True,0.99,0.9,0.0001
