Method,Atom,Basis,Grid_Sph,Grid_Rad,"Energy,Ha","ChemPot,Ha",Iterations,DIIS,Damp_Start,Damp_End,Damp_Cutoff
W FA,He,UGBS_S,6,1000,-2.86168,-0.917956,39,"[True, True]",0.9,0.0,0.001
W FA,Be,UGBS_S,6,1000,-19.019442,-2.022702,64,"[True, True]",0.9,0.0,0.001
W FA,Ne,UGBS_S,6,1000,-264.351611,-7.54136,83,"[True, True]",0.9,0.0,0.001
W FA,Mg,UGBS_S,6,1000,-450.78245,-10.119237,88,"[True, True]",0.9,0.0,0.001
W FA,Ar,UGBS_S,6,1000,-1487.979296,-20.070485,100,"[True, True]",0.9,0.0,0.001
W FA,Ca,UGBS_S,6,1000,-2032.047374,-24.126936,104,"[True, True]",0.9,0.0,0.001
W FA,Zn,UGBS_S,6,1000,-6766.870137,-49.955267,119,"[True, True]",0.9,0.0,0.001
W FA,Kr,UGBS_S,6,1000,-11640.920803,-69.88936,124,"[True, True]",0.9,0.0,0.001
TFW FA,He,UGBS_S,6,1000,-1.539225,-0.285218,55,"[True, True]",0.9,0.0,0.001
TFW FA,Be,UGBS_S,6,1000,-8.318528,-0.319222,76,"[True, True]",0.9,0.0,0.001
TFW FA,Ne,UGBS_S,6,1000,-82.790109,-0.333823,140,"[True, True]",0.9,0.0,0.001
TFW FA,Mg,UGBS_S,6,1000,-131.025072,-0.333141,168,"[True, True]",0.9,0.0,0.001
TFW FA,Ar,UGBS_S,6,1000,-363.016581,-0.329265,216,"[True, True]",0.9,0.0,0.001
TFW FA,Ca,UGBS_S,6,1000,-472.757119,-0.327909,204,"[True, True]",0.9,0.0,0.001
TFW FA,Zn,UGBS_S,6,1000,-1302.039741,-0.322032,981,"[True, True]",0.9,0.0,0.001
TFW FA,Kr,UGBS_S,6,1000,-2049.433009,-0.319229,1980,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,He,UGBS_S,6,1000,-3.210491,-1.154642,29,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,Be,UGBS_S,6,1000,-16.513037,-1.447818,62,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,Ne,UGBS_S,6,1000,-145.95263,-1.345798,100,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,Mg,UGBS_S,6,1000,-225.154209,-1.263974,105,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,Ar,UGBS_S,6,1000,-590.061891,-1.065751,118,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,Ca,UGBS_S,6,1000,-757.773231,-1.016159,122,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,Zn,UGBS_S,6,1000,-1982.409444,-0.848065,221,"[True, True]",0.9,0.0,0.001
TF_ABSP1 W FA,Kr,UGBS_S,6,1000,-3053.068173,-0.78573,212,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,He,UGBS_S,6,1000,-3.016522,-1.019353,35,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,Be,UGBS_S,6,1000,-15.590172,-1.264758,63,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,Ne,UGBS_S,6,1000,-139.590305,-1.189634,99,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,Mg,UGBS_S,6,1000,-215.922834,-1.124347,103,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,Ar,UGBS_S,6,1000,-569.078003,-0.964294,156,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,Ca,UGBS_S,6,1000,-731.823759,-0.92378,188,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,Zn,UGBS_S,6,1000,-1923.778678,-0.784569,196,"[True, True]",0.9,0.0,0.001
TF_ABSP2 W FA,Kr,UGBS_S,6,1000,-2968.555726,-0.732036,194,"[True, True]",0.9,0.0,0.001
TF_GR W FA,He,UGBS_S,6,1000,-2.86168,-0.917956,39,"[True, True]",0.9,0.0,0.001
TF_GR W FA,Be,UGBS_S,6,1000,-14.790827,-1.118392,68,"[True, True]",0.9,0.0,0.001
TF_GR W FA,Ne,UGBS_S,6,1000,-129.491096,-0.970804,100,"[True, True]",0.9,0.0,0.001
TF_GR W FA,Mg,UGBS_S,6,1000,-199.806807,-0.910327,108,"[True, True]",0.9,0.0,0.001
TF_GR W FA,Ar,UGBS_S,6,1000,-525.287421,-0.778713,144,"[True, True]",0.9,0.0,0.001
TF_GR W FA,Ca,UGBS_S,6,1000,-675.476822,-0.747621,182,"[True, True]",0.9,0.0,0.001
TF_GR W FA,Zn,UGBS_S,6,1000,-1778.600588,-0.644615,198,"[True, True]",0.9,0.0,0.001
TF_GR W FA,Kr,UGBS_S,6,1000,-2748.699338,-0.606726,550,"[True, True]",0.9,0.0,0.001
