Method,Atom,Basis,Grid_Sph,Grid_Rad,"Energy,Ha","ChemPot,Ha",Iterations,DIIS,Damp_Start,Damp_End,Damp_Cutoff
TW1 LDA,He,UGBS_S,6,1000,-3.529658,-0.03702,44,"[False, False]",0.99,0.99,0.0001
TW1 LDA,Be,UGBS_S,6,1000,-17.270832,-0.043652,10,"[False, False]",0.99,0.99,0.0001
TW1 LDA,Ne,UGBS_S,6,1000,-145.151124,-0.044458,84,"[False, False]",0.99,0.99,0.0001
TW1 LDA,Mg,UGBS_S,6,1000,-222.683379,-0.043442,76,"[False, False]",0.99,0.99,0.0001
TW1 LDA,Mg,UGBS_S,6,1000,-222.683379,-0.043442,76,"[False, False]",0.99,0.99,0.0001
TW1 LDA,Ar,UGBS_S,6,1000,-577.255178,-0.040697,49,"[False, False]",0.99,0.99,0.0001
TW1 LDA,Ca,UGBS_S,6,1000,-738.128581,-0.040977,35,"[False, False]",0.99,0.99,0.0001
TW1 LDA,Zn,UGBS_S,6,1000,-1916.998196,-0.041037,5426,"[False, False]",0.99,0.99,0.0001
TW1 FA,He,UGBS_S,6,1000,-3.564421,-0.25624,76,"[False, False]",0.99,0.99,0.001
TW1 FA,He,UGBS_S,6,1000,-3.583328,-0.28765,43,"[False, False]",0.99,0.99,0.0001
TW1 FA,Be,UGBS_S,6,1000,-16.852619,-0.242655,133,"[False, False]",0.99,0.99,0.0001
TW1 FA,Ne,UGBS_S,6,1000,-141.139004,-0.20321,78,"[False, False]",0.99,0.99,0.0001
TW1 FA,Mg,UGBS_S,6,1000,-216.335852,-0.196485,65,"[False, False]",0.99,0.99,0.0001
TW1 FA,Ar,UGBS_S,6,1000,-562.814787,-0.183586,57,"[False, False]",0.99,0.99,0.0001
TW1 FA,Ca,UGBS_S,6,1000,-720.377329,-0.18168,52,"[False, False]",0.99,0.99,0.0001
TW1 FA,Zn,UGBS_S,6,1000,-1878.290803,-0.172972,3147,"[False, False]",0.99,0.99,0.0001
TW1 PBE,He,UGBS_S,6,1000,-3.689821,-0.057416,52,"[False, False]",0.99,0.99,0.0001
TW1 PBE,Be,UGBS_S,6,1000,-17.64644,-0.051938,6688,"[False, False]",0.99,0.0,0.0001
TW1 PBE,Ne,UGBS_S,6,1000,-146.581298,-0.054521,65,"[False, False]",0.99,0.99,0.0001
TW1 PBE,Mg,UGBS_S,6,1000,-224.087226,-0.055989,69,"[False, False]",0.99,0.99,0.0001
TW1 PBE,Ar,UGBS_S,6,1000,-579.510989,-0.055459,47,"[False, False]",0.99,0.99,0.0001
TW1 PBE,Ca,UGBS_S,6,1000,-740.691639,-0.055415,45,"[False, False]",0.99,0.99,0.0001
TW1 PBE,Zn,UGBS_S,6,1000,-1921.087927,-0.05636,3420,"[False, False]",0.99,0.99,0.0001
